ID;Question;Choix_Gauche;Choix_Droite;Next_ID_G;Next_ID_D;G_Planete;G_Inclusion;G_Securite;G_Budget;D_Planete;D_Inclusion;D_Securite;D_Budget
1;Les ordinateurs de la salle 104 sont très lents. Quelle solution retenir ?;Acheter du matériel neuf;Installer une distribution Linux légère;0;0;-20;10;0;-20;15;-10;0;10
2;Les enseignants impriment 500 pages par jour. Comment réduire cette consommation ?;Mettre en place des quotas stricts;Maintenir la situation actuelle;0;0;15;-10;0;10;-15;10;0;-10
3;La salle serveur est réglée à 19°C. Faut‑il augmenter la température ?;Augmenter à 24°C;Conserver 19°C;0;0;10;0;-5;10;-10;0;5;-10
4;Certaines tablettes ont l’écran fissuré mais restent fonctionnelles. Que faire ?;Remplacer par du matériel neuf;Effectuer une réparation interne;0;0;-15;10;0;-20;15;-5;-5;15
5;Les lampes des vidéoprojecteurs sont hors service. Faut‑il passer aux écrans LED ?;Remplacer l’ensemble du matériel;Conserver les équipements actuels;0;0;-20;10;0;-20;15;-10;0;15
6;Le directeur envoie des PDF très volumineux (10 Mo). Quelle solution adopter ?;Former à l’usage de liens partagés;Augmenter la capacité des boîtes mail;0;0;10;0;5;0;-10;0;0;-10
7;Autoriser l’usage des téléphones personnels des élèves en cours (BYOD) ?;Oui, pour réduire les coûts;Non, fournir le matériel institutionnel;0;0;10;-15;-5;15;-10;15;5;-20
8;Faut‑il activer l’extinction automatique des postes à 18h ?;Oui, extinction automatique;Non, laisser l’autonomie aux utilisateurs;0;0;15;-10;5;10;-15;10;-5;-10
9;Doit‑on supprimer les fichiers de plus de 3 ans sur le Cloud ?;Effectuer un nettoyage complet;Conserver l’ensemble des données;0;0;15;0;10;0;-15;0;-5;-10
10;Une association demande nos anciens câbles et souris. Quelle décision prendre ?;Donner le matériel réformé;Envoyer tout en déchetterie;0;0;15;15;0;0;-20;0;0;-5
11;Un élève dyslexique demande une police adaptée sur le site. Répondre favorablement ?;Adapter la police du site;Refuser par souci esthétique;0;0;0;15;0;-5;0;-15;0;0
12;Le site actuel est illisible sur mobile. Doit‑on le rendre responsive ?;Refaire le site en version responsive;Laisser la version actuelle;0;0;0;15;0;-10;0;-15;0;10
13;Faut‑il employer l’écriture inclusive dans les communications officielles ?;Oui, adopter l’écriture inclusive;Non, conserver la norme académique;0;0;0;5;0;0;0;-5;5;0
14;Certaines familles n’ont pas Internet pour consulter les bulletins. Que proposer ?;Mettre à disposition une version papier;Passer au tout numérique;0;0;-5;15;0;-5;5;-20;0;5
15;Créer un club de programmation réservé aux filles pour encourager la mixité ?;Oui, proposer un groupe non mixte;Non, maintenir un groupe mixte;0;0;0;15;0;-5;0;-10;0;0
